object_id,object_name,description,unit,canonical_id,canonical_label,kind,subsystem,control_role,application,schema_slot_id,fdv_role,in_mpc_control,in_u_meas,in_eval,catalog_only
BO-2,320.002JP401_S,Pumpe,,district.tr002.pump.status,Pumpestatus TR002 bolig (observert),measured_state,district_heating,plant_measurement,mpc_plant,,TR002 bolig pumpe,0,0,1,0
BI-3,320.002JP402_A,Pumpe,,district.tr002.pump.secondary.run,TR002 residential — District secondary pump run command,control,district_heating,operational_command,mpc_context,,TR002 bolig pumpe,0,0,0,0
BO-3,320.002JP402_S,Pumpe,,district.tr002.pump.secondary.status,TR002 residential — District secondary pump status,measured_state,district_heating,plant_measurement,ui_plant,,TR002 bolig pumpe,0,0,0,0
AI-4,320.002RP403_MV,Differansetrykk,bars,,,unmapped,,,out_of_scope,,Differansetrykk,0,0,0,0
AV-3,320.002RT402_MAX,Kompenseringskurve Y4 Regulert Verdi,degrees-celsius,district.tr002.comp.max,TR002 residential — Compensation curve Y4 anchor,derived_state,district_heating,bms_configuration,mpc_context,,TR002 bolig tur,0,0,0,0
AV-4,320.002RT402_MIN,Kompenseringskurve Y1 Regulert Verdi,degrees-celsius,district.tr002.comp.min,TR002 residential — Compensation curve Y1 anchor,derived_state,district_heating,bms_configuration,mpc_context,,TR002 bolig tur,0,0,0,0
AI-3,320.002RT402_MV,Temperatur turvann,degrees-celsius,district.tr002.supply.temp,Tur temperatur TR002 bolig,measured_state,district_heating,plant_measurement,mpc_plant,,TR002 bolig tur,0,0,1,0
AV-7,320.002RT402_SPF,Settpunktforstilling,degrees-celsius,district.tr002.comp.spf,TR002 residential — Compensation curve setpoint bias,derived_state,district_heating,bms_configuration,mpc_context,,TR002 bolig tur,0,0,0,0
AV-12,320.002RT402_SPK,Settpunkt kalkulert,degrees-celsius,district.tr002.supply.setpoint,Beregnet tur-SP TR002 bolig,derived_state,district_heating,plant_measurement,mpc_plant,,Settpunkt tur bolig (TR002),0,0,1,0
AV-5,320.002RT402_VKH,Kompenseringskurve X3 Kompenserende Verdi,degrees-celsius,district.tr002.comp.x3,TR002 residential — Compensation curve X3 anchor,derived_state,district_heating,bms_configuration,mpc_context,,TR002 bolig tur,0,0,0,0
