hour_utc,electricity_kwh,district_heating_kwh,total_cost_kr
2026-06-30T08:00:00.000Z,2.7330000400543213,3,3.9133827573537827
2026-06-30T09:00:00.000Z,2.7139999866485596,3,4.108181779789924
2026-06-30T10:00:00.000Z,2.7829999923706055,3,4.261329588317871
2026-06-30T11:00:00.000Z,2.759999990463257,2,4.320227985072137
2026-06-30T12:00:00.000Z,2.7060000896453857,2,4.255455740976333
2026-06-30T13:00:00.000Z,2.609999895095825,3,4.080734835982323
2026-06-30T14:00:00.000Z,1.034000039100647,3,1.6258616614818573
2026-06-30T15:00:00.000Z,0.6930000185966492,2,1.0268874275565147
2026-06-30T16:00:00.000Z,0.6899999976158142,2,1.1486429960310458
2026-06-30T17:00:00.000Z,0.6710000038146973,2,1.220616106939316
2026-06-30T18:00:00.000Z,0.7039999961853027,3,1.3720959925651552
2026-06-30T19:00:00.000Z,0.6579999923706055,3,1.2672421853065492
2026-06-30T20:00:00.000Z,0.6959999799728394,3,1.1809031660199165
2026-06-30T21:00:00.000Z,0.6629999876022339,3,0.9993398813128471
2026-06-30T22:00:00.000Z,0.6740000247955322,3,1.1890034437417982
2026-06-30T23:00:00.000Z,0.6949999928474426,4,1.1945659877061845
2026-07-01T00:00:00.000Z,0.6669999957084656,4,1.1292309927344322
2026-07-01T01:00:00.000Z,0.6850000023841858,3,1.1481970039963723
2026-07-01T02:00:00.000Z,0.6800000071525574,4,1.1383880119740963
2026-07-01T03:00:00.000Z,0.6779999732971191,3,1.1570747544288633
2026-07-01T04:00:00.000Z,0.6589999794960022,3,1.2222472619712352
2026-07-01T05:00:00.000Z,2.3410000801086426,3,3.890976233148575
2026-07-01T06:00:00.000Z,3.2130000591278076,2,5.433183099985123
2026-07-01T07:00:00.000Z,3.234999895095825,3,5.834322310805321
2026-07-01T08:00:00.000Z,3.188999891281128,2,5.640065207719803
2026-07-01T09:00:00.000Z,3.265000104904175,3,5.641593681263924
2026-07-01T10:00:00.000Z,3.1649999618530273,2,5.492540933799743
2026-07-01T11:00:00.000Z,3.305000066757202,2,5.531248111724854
2026-07-01T12:00:00.000Z,3.2750000953674316,2,5.35266015586853
2026-07-01T13:00:00.000Z,2.7880001068115234,2,4.431804969787598
2026-07-01T14:00:00.000Z,0.8100000023841858,2,1.2795570037662982
2026-07-01T15:00:00.000Z,0.6959999799728394,2,1.1006543683290482
2026-07-01T16:00:00.000Z,0.6819999814033508,1,1.0354805717647075
